ID_Mestre,SMILES,1EVE_Eficacia,5W8K_Risco,Indice_Seletividade,Fitness_Score,Origem_Historica
MOL_00082,CCC(=O)c1nc(C2CCC(C)C2C(=O)CC)cc(C=CF)c1C(C)=O,-9.068,-5.968,3.1,-4.8904,Gen 97
MOL_00083,CCC(=O)c1c(F)c(F)nc(OC)c1C1CCC(C)C1C(=O)CC(C)C,-9.213,-6.173,3.039999999999999,-4.8892549999999995,Gen 37
MOL_00084,CCC(=O)c1c(C2CCC(C)C2C(=O)CC(C)C)cnc(O)c1OC,-9.02,-5.934,3.0859999999999994,-4.8662,Gen 93
MOL_00085,CCCC(=O)C1C(C)CCC1c1cnccc1C#N,-8.733,-5.528,3.205,-4.863400000000001,Fase 3_Super Elite
MOL_00086,CCCCC(=O)C1C(C)CCC1c1cnccc1C=CF,-8.79,-5.61,3.18,-4.8629999999999995,Fase 1_Lote Inicial
MOL_00087,COc1c(C)c(C)nc(C(C)=O)c1C1C(C)CCC1C(C)=O,-9.189,-6.177,3.0120000000000005,-4.861455000000001,Gen 152
MOL_00088,CC(C)C(=O)C1C(C)CCC1c1cnccc1C1CO1,-8.943,-5.841,3.102,-4.854299999999999,Fase 1_Lote Inicial
MOL_00089,CCC(=O)C1CCC(C)C1c1c(OC)cncc1C(C)=O,-8.771,-5.599,3.1720000000000006,-4.851700000000001,Gen 79
MOL_00090,CC(C)C(C)C(=O)c1ccncc1C(=O)C(C)C(C)C,-8.769,-5.622,3.147,-4.833600000000001,Gen 91
MOL_00091,COc1cc(C#N)c(C2CCC(C)C2C(=O)CC(C)C)cn1,-9.017,-5.981,3.036,-4.830299999999999,Gen 23
MOL_00092,COc1nc(C)c(C)c(C(C)=O)c1C1CCC(C)C1C(N)=O,-9.302,-6.276,3.026,-4.829420000000001,Gen 100
MOL_00093,COc1nccc(C=CF)c1C1CCC(C)C1C(=O)CCCC(C)C,-8.938,-5.87,3.0680000000000005,-4.829000000000001,Gen 33
MOL_00094,CCC(C)CCCC(=O)C1C(C)CCC1c1c(OC)ncc(F)c1C=CF,-9.517,-6.368,3.148999999999999,-4.8217799999999995,Gen 29
MOL_00095,COc1c(-c2ccnc(C)c2C(C)=O)ccnc1C,-8.822,-5.728,3.0939999999999994,-4.812399999999999,Gen 72
MOL_00096,COc1cc(C=CF)c(C2CCC(C)C2OC)c(OC)n1,-8.924,-5.874,3.05,-4.8122,Gen 159
MOL_00097,CC(=O)c1c(C2CCC(C)C2C(=O)C(C)C(C)C)cnc(C)c1C,-9.082,-6.111,2.971000000000001,-4.804300000000001,Gen 34
MOL_00098,CC(=O)c1cnccc1-c1ccncc1C(=O)C(C)C(C)C,-8.985,-5.974,3.0109999999999992,-4.8031999999999995,Gen 91
MOL_00099,CC(C)CCC(=O)c1cnccc1C(=O)C(C)C(C)C,-8.551,-5.371,3.18,-4.7913,Gen 132
MOL_00100,CCCC(C)C(=O)C1C(C)CCC1c1c(C=CF)ccnc1OC,-9.0,-6.021,2.979,-4.7853,Gen 28
MOL_00101,CC(=O)c1cc(C=CF)c(C(C)=O)c(C(=O)C(C)C(C)C)n1,-9.073,-6.126,2.947,-4.784800000000001,Gen 140
MOL_00102,CCC(C)CC(=O)C1C(C)CCC1c1cnc(F)c(F)c1C(C)=O,-9.246,-6.271,2.9750000000000005,-4.783095000000001,Gen 31
MOL_00103,C=C=Cc1ccncc1C1CCC(C)C1C(=O)C(C)=CC,-9.231,-6.263,2.968,-4.783055000000001,Fase 1_Lote Inicial
MOL_00104,COc1nc(OC)c(C2CCC(C)C2C(N)=O)c(C=CF)c1F,-9.229,-6.263,2.966,-4.781055,Gen 101
MOL_00105,CCCC(=O)C1C(C)CCC1c1c(F)ncc(C2CC2)c1C#N,-9.154,-6.218,2.936,-4.7782800000000005,Gen 13
MOL_00106,COc1cnccc1-c1cc(C=CF)c(OC)c(C(=O)C(C)C(C)C)n1,-9.514,-6.382,3.132,-4.7774800000000015,Gen 130
MOL_00107,CCCCC(=O)C1C(C)CCC1c1c(C=CF)cc(C)nc1F,-9.522,-6.385,3.1370000000000005,-4.7763750000000025,Gen 24
MOL_00108,COc1ccnc(C)c1C1CCC(C)C1C(=O)CCC(C)C,-8.945,-5.961,2.984,-4.7723,Gen 150
MOL_00109,CCC(=O)C1C(C)CCC1c1c(C=CF)ccnc1OC,-9.038,-6.103,2.9350000000000005,-4.765900000000001,Gen 26
MOL_00110,COc1ncc(C2CCC(C)C2C(=O)CC(C)C)c(C(C)=O)c1C,-8.954,-5.985,2.9690000000000003,-4.764500000000001,Gen 41
MOL_00111,CCC(=O)C1C(C)CCC1c1cncc(C(C)=O)c1C1CC1,-9.024,-6.085,2.938999999999999,-4.764499999999999,Gen 51
MOL_00112,CC(=O)c1ccncc1-c1ccnc(C)c1C(C)=O,-8.752,-5.698,3.0540000000000003,-4.763400000000001,Gen 93
MOL_00113,Cc1nccc(C(N)=O)c1C1CCC(C)C1C(=O)C(C)C(C)C,-9.421,-6.355,3.065999999999999,-4.762374999999999,Gen 50
MOL_00114,COc1c(C=CF)cc(C(C)=O)nc1C1CCC(C)C1OC,-8.956,-5.993,2.962999999999999,-4.7608999999999995,Gen 68
MOL_00115,COc1nccc(C=CF)c1C1CCC(C)C1C(=O)CCC(C)C,-8.981,-6.031,2.95,-4.7593000000000005,Gen 26
MOL_00116,CCC(C)C(=O)C1C(C)CCC1c1cncc(C(F)(F)F)c1C#N,-9.188,-6.254,2.934000000000001,-4.756120000000002,Gen 15
MOL_00117,Cc1ncc(C2CCC(C)C2C(=O)C(C)C(C)C)c(C=NO)c1Cl,-9.405,-6.352,3.052999999999999,-4.75458,Gen 42
MOL_00118,CCOc1nc(C)c(C)c(C(N)=O)c1C1CCC(C)C1C(=O)CC(C)C,-9.565,-6.406,3.159,-4.753120000000002,Gen 100
MOL_00119,COc1cc(C=CF)c(C(C)=O)c(C2CCC(C)C2C(C)=O)n1,-9.394,-6.35,3.0440000000000005,-4.749000000000002,Gen 68
MOL_00120,CCCC(=O)C1C(C)CCC1c1c(C#N)cc(C)nc1C(F)(F)F,-9.179,-6.253,2.926,-4.748855000000001,Gen 18
MOL_00121,CCC(=O)C1C(C)CCC1c1ccnc(C)c1C(C)=O,-8.996,-6.071,2.9250000000000007,-4.746300000000001,Gen 93
MOL_00122,COc1c(C=CF)cc(C(=O)CC(C)C)nc1C(C)=O,-9.005,-6.084,2.921000000000001,-4.746200000000002,Gen 144
MOL_00123,CCC(=O)c1cncc(C2CC2)c1C1C(C)CCC1C(C)=O,-8.932,-5.985,2.947,-4.742500000000001,Gen 52
MOL_00124,COc1nccc(C=CF)c1C1CCC(C)C1C(N)=O,-9.156,-6.245,2.9110000000000005,-4.739375000000001,Gen 33
MOL_00125,CCC(=O)c1c(CC)cncc1C1CCC(C)C1C(=O)CC(C)C,-9.021,-6.117,2.904000000000001,-4.739100000000001,Gen 61
MOL_00126,Cc1cc(C=NO)c(C2CCC(C)C2C(=O)CC(C)C)c(O)n1,-8.72,-5.689,3.0310000000000006,-4.7377,Gen 22
MOL_00127,CCCC(=O)C1C(C)CCC1c1cncc(C2CC2)c1C#N,-8.659,-5.603,3.056000000000001,-4.736900000000001,Gen 11
MOL_00128,CC(=O)c1cc(C=CF)c(C(=O)CC(C)C)c(C(=O)CC(C)C)n1,-8.955,-6.034,2.9210000000000003,-4.7312,Gen 108
MOL_00129,CC(=O)C1CCC(C)C1c1ccnc(C)c1C(=O)CC(C)C,-9.047,-6.165,2.882000000000001,-4.730375,Gen 89
MOL_00130,CC(C)CC(=O)C1C(C)CCC1c1cnc(C(F)(F)F)cc1C#N,-9.043,-6.162,2.881,-4.728879999999999,Gen 21
MOL_00131,CCCCC(=O)C1C(C)CCC1c1c(C=CCl)cc(OC)nc1OC,-8.793,-5.806,2.986999999999999,-4.7288,Gen 30
MOL_00132,CCC(=O)c1c(OC)cncc1C1CCC(C)C1C(=O)CC(C)C,-9.686,-6.448,3.2379999999999995,-4.72838,Gen 47
MOL_00133,COc1nc(C)c(C2CCC(C)C2C(=O)C(C)C(C)C)c(C(N)=O)c1C1CC1,-9.618,-6.431,3.1870000000000003,-4.721495000000002,Gen 112
MOL_00134,CC(=O)c1c(F)c(C)nc(C)c1C1CCC(C)C1C(=O)CC(C)C,-9.833,-6.488,3.345,-4.72018,Gen 76
MOL_00135,COc1c(C(C)=O)nc(C)c(C)c1C1CCC(C)C1OC,-8.916,-5.996,2.92,-4.7188,Gen 90
MOL_00136,COc1c(O)nc(C)c(O)c1C1C(C)CCC1C(C)=O,-8.869,-5.933,2.936,-4.7159,Gen 153
MOL_00137,CCCCCCC(=O)C1C(C)CCC1c1c(OC)nc(F)c(F)c1C=CF,-8.953,-6.053,2.8999999999999995,-4.7158999999999995,Gen 29
MOL_00138,C=C=Cc1c(C2CCC(C)C2C(=O)C(C)=CC)cnc(C)c1C,-9.867,-6.498,3.3690000000000007,-4.712880000000002,Gen 9
MOL_00139,CCc1cncc(C2CCC(C)C2C(=O)CC(C)C)c1C(N)=O,-9.796,-6.481,3.3149999999999995,-4.711495000000001,Gen 86
MOL_00140,CC(=O)c1c(C2CCC(C)C2C(=O)C(C)C(C)C)cnc(C)c1F,-9.521,-6.406,3.115000000000001,-4.709120000000003,Gen 80
MOL_00141,CCCC(=O)C1C(C)CCC1c1cnc(C(F)(F)F)cc1C#N,-9.339,-6.346,2.9930000000000003,-4.704720000000001,Gen 11
MOL_00142,CCC(C)C(C)C(=O)C1C(C)CCC1c1c(C#N)ccnc1C(F)(F)F,-8.976,-6.105,2.8710000000000004,-4.702500000000001,Gen 29
MOL_00143,CCCC(=O)C1C(C)CCC1c1c(C=CCl)cc(OC)nc1OC,-8.6,-5.572,3.028,-4.6996,Gen 28
MOL_00144,Cc1cc(C=NO)c(C2CCC(C)C2C(=O)C(C)C(C)C)c(O)n1,-8.964,-6.094,2.87,-4.698200000000001,Gen 38
MOL_00145,Cc1nc(O)c(C2CCC(C)C2C(=O)CC(C)C)c(C(=O)C(C)C)c1O,-9.203,-6.293,2.91,-4.6956549999999995,Gen 112
MOL_00146,CC(=O)c1c(F)cncc1C1CCC(C)C1C(=O)C(C)C(C)C,-9.042,-6.196,2.846,-4.6942200000000005,Gen 48
MOL_00147,COc1c(C)ncc(C2CCC(C)C2C(=O)CC(C)C)c1C=NO,-8.965,-6.106,2.859,-4.6908,Gen 22
MOL_00148,Cc1cc(C=NO)c(C2CCC(C)C2C(=O)CC(C)C)c(F)n1,-8.829,-5.913,2.9160000000000004,-4.689900000000001,Evolução Interativa Gen 6
MOL_00149,CCC(=O)c1ccnc(C)c1-c1cncc(C(=O)C(C)C(C)C)c1C(C)=O,-9.307,-6.34,2.9670000000000005,-4.688500000000001,Gen 80
MOL_00150,CCC(C)CC(=O)C1C(C)CCC1c1c(C=CF)cc(OC)nc1OC,-9.295,-6.336,2.959,-4.68682,Gen 27
MOL_00151,CC(C)C(=O)C1C(C)CCC1c1cnccc1N,-9.065,-6.22,2.845,-4.6865000000000006,Fase 3_Super Elite
MOL_00152,C=C=Cc1ccncc1C1CC1C(=O)C1CCCC1C,-8.805,-5.887,2.918,-4.6841,Fase 1_Lote Inicial
MOL_00153,CCCCC(=O)C1C(C)CCC1c1cncc(OC)c1C=CF,-8.783,-5.856,2.927,-4.6838,Gen 22
MOL_00154,CCC(=O)c1cncc(OC)c1C1C(C)CCC1C(C)=O,-8.731,-5.787,2.944,-4.6801,Gen 79
MOL_00155,C=CCC(=O)C1C(C)CCC1c1cnccc1C1CC1,-8.608,-5.615,2.993,-4.6775,Fase 1_Lote Inicial
MOL_00156,CCC(=O)c1cncc(C2CCC(C)C2C(=O)CC)c1C(=O)CC,-8.625,-5.644,2.981,-4.674200000000001,Gen 51
MOL_00157,CC(C)CCC(=O)C1C(C)CCC1C(=O)C(C)C(C)C,-8.473,-5.437,3.0360000000000005,-4.667100000000001,Gen 150
MOL_00158,COc1ncc(C2CCC(C)C2C(=O)CC(C)C)c(C(N)=O)c1F,-8.889,-6.033,2.855999999999999,-4.6659,Gen 82
MOL_00159,COc1nc(C)c(C2CCC(C)C2C(=O)C(C)C(C)C)c(C(C)=O)c1C,-9.007,-6.197,2.81,-4.658055,Gen 50
MOL_00160,CCC(C)CC(=O)C1C(C)CCC1c1c(C=CF)ccnc1OC,-8.681,-5.749,2.9319999999999995,-4.6567,Gen 28
MOL_00161,CCC(C)C(=O)C1C(C)CCC1c1c(C#N)ccnc1OC,-8.586,-5.617,2.9690000000000003,-4.654100000000001,Gen 22
MOL_00162,C=C=Cc1ccncc1C1CCC(F)C1C(=O)CCC,-8.663,-5.729,2.934,-4.6527,Fase 1_Lote Inicial
MOL_00163,Cc1ncc(C2CCC(C)C2C(=O)CC(C)C)c(C=NO)c1F,-8.872,-6.033,2.8389999999999995,-4.6489,Evolução Interativa Gen 7
MOL_00164,CC1CCC(c2c(F)ncc(C3CC3)c2C#N)C1C(N)=O,-8.982,-6.183,2.7989999999999995,-4.648455,Gen 14
MOL_00165,CCCCC(C)CC(=O)C1C(C)CCC1c1c(OC)ncc(Cl)c1C=CF,-8.822,-5.965,2.857,-4.6465,Gen 36
MOL_00166,COc1cnccc1-c1nc(C)c(C)c(C(=O)C(C)C(C)C)c1C(C)=O,-8.953,-6.156,2.797,-4.643619999999999,Gen 162
MOL_00167,CC(=O)c1cc(C=CF)c(C(=O)CC(C)C)c(C(=O)C(C)C(C)C)n1,-9.104,-6.271,2.833,-4.641095,Gen 140
MOL_00168,CCC1CCC(c2c(C=CF)cc(OC)nc2OC)C1C(N)=O,-9.33,-6.366,2.9640000000000004,-4.640520000000002,Gen 56
MOL_00169,CCCC(=O)C1C(C)CCC1c1c(C)ncc(C2CC2)c1C#N,-8.867,-6.04,2.827000000000001,-4.639000000000001,Gen 13
MOL_00170,COC1C(C)CCC1c1c(C(=O)CC(C)C)nc(C)c(C)c1C(C)=O,-9.039,-6.235,2.8039999999999994,-4.638375,Gen 146
MOL_00171,CCC(C(=O)C1C(C)CCC1c1cncc(OC)c1C(C)=O)C(C)C,-9.327,-6.366,2.9610000000000003,-4.637520000000002,Gen 70
MOL_00172,CC(=O)c1ccnc(C)c1C1C(C)CCC1C(C)=O,-8.884,-6.079,2.8050000000000006,-4.628700000000001,Gen 53
MOL_00173,CC(=O)c1cnccc1-c1cnccc1C(=O)CC(C)C,-8.768,-5.916,2.8520000000000003,-4.6268,Gen 70
MOL_00174,CCCC(C)C(=O)C1C(C)CCC1c1c(OC)ncc(F)c1C=CF,-8.955,-6.18,2.7750000000000004,-4.6245,Gen 27
MOL_00175,CCCC(=O)C1C(C)CCC1c1cnc(C)c(O)c1C#N,-8.699,-5.823,2.8759999999999994,-4.6229,Gen 23
MOL_00176,Cc1ncc(C2CCC(C)C2C(=O)CC(C)C)c(C=NO)c1O,-8.865,-6.061,2.8040000000000003,-4.622300000000001,Gen 22
