current_panel_key,current_inchikey,legacy_inchikey,match_type,similarity,legacy_source,legacy_record_id,historical_label
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AJHLUOTXKSHNSM-UHFFFAOYSA-N,NO_MATCH,0.093750,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AJHLUOTXKSHNSM-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AJJOJGHCUOOYIL-UHFFFAOYSA-N,NO_MATCH,0.113636,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AJJOJGHCUOOYIL-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AJLHOCCWHYTGSI-UHFFFAOYSA-N,NO_MATCH,0.108696,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AJLHOCCWHYTGSI-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AJNJYSXJJQLKSR-UHFFFAOYSA-N,NO_MATCH,0.081633,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AJNJYSXJJQLKSR-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AJNKTKHLIKPQLP-UHFFFAOYSA-N,NO_MATCH,0.073684,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AJNKTKHLIKPQLP-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AJSVFOLJOYZOCM-UHFFFAOYSA-N,NO_MATCH,0.095745,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AJSVFOLJOYZOCM-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AJTXKOHECRWOSA-UHFFFAOYSA-N,NO_MATCH,0.107527,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AJTXKOHECRWOSA-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AJWUKFSAHLBTAN-UHFFFAOYSA-N,NO_MATCH,0.099010,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AJWUKFSAHLBTAN-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AKDDGBQDYNYKCD-UHFFFAOYSA-N,NO_MATCH,0.094737,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AKDDGBQDYNYKCD-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AKMVTUPJYLPZGA-UHFFFAOYSA-N,NO_MATCH,0.086022,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AKMVTUPJYLPZGA-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AKNNQNOYTMLEIU-UHFFFAOYSA-N,NO_MATCH,0.136842,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AKNNQNOYTMLEIU-UHFFFAOYSA-N,
