legacy_record_id,inchikey,source_file,source_role,compound,filtered,farma_elite,top_hit,nh_4ey7,nh_isolated,master
LEGACY-INCHIKEY-YJBMKZJICOBJFW-UHFFFAOYSA-N,YJBMKZJICOBJFW-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YJBMKZJICOBJFW-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YJFAHKFHYVEWJA-UHFFFAOYSA-N,YJFAHKFHYVEWJA-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YJFAHKFHYVEWJA-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YJHBNIZVLXSZLP-UHFFFAOYSA-N,YJHBNIZVLXSZLP-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YJHBNIZVLXSZLP-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YJIHTQNKGICTKP-UHFFFAOYSA-N,YJIHTQNKGICTKP-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YJIHTQNKGICTKP-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YJWFRTQMXDHAHG-UHFFFAOYSA-N,YJWFRTQMXDHAHG-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YJWFRTQMXDHAHG-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YJXCCBPVRAPKOP-UHFFFAOYSA-N,YJXCCBPVRAPKOP-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YJXCCBPVRAPKOP-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YKAVQGUFUGYVDW-UHFFFAOYSA-N,YKAVQGUFUGYVDW-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YKAVQGUFUGYVDW-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YKCOCZNFTVRDLK-UHFFFAOYSA-N,YKCOCZNFTVRDLK-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YKCOCZNFTVRDLK-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YKEQXBOVOBIZMR-UHFFFAOYSA-N,YKEQXBOVOBIZMR-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YKEQXBOVOBIZMR-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YKPKTITZRBQITK-UHFFFAOYSA-N,YKPKTITZRBQITK-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YKPKTITZRBQITK-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YKUGOZJIHDZTNQ-UHFFFAOYSA-N,YKUGOZJIHDZTNQ-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YKUGOZJIHDZTNQ-UHFFFAOYSA-N,0,0,0,0,0,1
