ID_Mestre,SMILES,1EVE_Eficacia,5W8K_Risco,Indice_Seletividade,Origem_Historica
MOL_00996,CCCC(=O)C1C(CC)CCC1c1cnccc1NC#N,-7.581,-5.979,1.602,Fase 1_Lote Inicial
MOL_00997,CCC(=O)C1C(C)CCC1c1cnccc1C,-7.58,-5.442,2.138,Fase 2_Seletividade
MOL_00998,CCNC(=O)C1C(C)CCC1c1cnccc1C#N,-7.58,-6.29,1.29,Fase 2_Seletividade
MOL_00999,CCC(=O)C1C(O)CCC1c1cnccc1C(F)F,-7.578,-5.878,1.7,Fase 3_Super Elite
MOL_01000,CNC(=O)C1C(O)CCC1c1cnccc1O,-7.578,-6.772,0.806,Fase 2_Seletividade
MOL_01001,CCCC(=O)C1C(CC)CCC1c1cnccc1N=[N+]=[N-],-7.577,-5.786,1.791,Fase 1_Lote Inicial
MOL_01002,CCNC(=O)C1C(F)CCC1c1cnccc1O,-7.577,-6.555,1.022,Fase 2_Seletividade
MOL_01003,CCc1ccncc1C1CCC(OC)C1C(=O)C=O,-7.575,-5.419,2.156,Fase 2_Seletividade
MOL_01004,O=CC(=O)C1C(O)CCC1c1cnccc1CF,-7.574,-6.05,1.524,Fase 2_Seletividade
MOL_01005,CCNC(=O)C1C(C)CCC1c1cnccc1CC,-7.574,-6.488,1.086,Fase 2_Seletividade
MOL_01006,N#CC1CCC(c2cnccc2F)C1C(=O)C1CCC1,-7.574,-6.492,1.082,Fase 2_Seletividade
MOL_01007,CCC(=O)C1C(O)CCC1c1cnccc1C,-7.573,-6.11,1.463,Fase 2_Seletividade
MOL_01008,CCCC(=O)C1C(N)CCC1c1cnccc1C,-7.573,-6.239,1.334,Fase 2_Seletividade
MOL_01009,CCNC(=O)C1C(O)CCC1c1cnccc1C=O,-7.573,-6.44,1.133,Fase 2_Seletividade
MOL_01010,COC(=O)C1C(C=O)CCC1c1cnccc1C,-7.569,-5.644,1.925,Fase 2_Seletividade
MOL_01011,CCCC(=O)C1C(F)CCC1c1cnccc1C=CF,-7.569,-5.657,1.912,Fase 1_Lote Inicial
MOL_01012,CC(C)C(=O)C1C(N)CCC1c1cnccc1CF,-7.569,-5.893,1.676,Fase 2_Seletividade
MOL_01013,CC(F)CC(=O)C1C(C)CCC1c1cnccc1C#CF,-7.568,-5.704,1.864,Fase 1_Lote Inicial
MOL_01014,CCCC(=O)C1C(OC)CCC1c1cnccc1C#CF,-7.568,-6.024,1.544,Fase 1_Lote Inicial
MOL_01015,NC(=O)C(=O)C1C(S)CCC1c1cnccc1F,-7.568,-6.353,1.215,Fase 2_Seletividade
MOL_01016,COC(=O)C1C(CF)CCC1c1cnccc1C#N,-7.566,-5.952,1.614,Fase 2_Seletividade
MOL_01017,CCNC(=O)C1C(C=O)CCC1c1cnccc1C(F)F,-7.566,-6.555,1.011,Fase 2_Seletividade
MOL_01018,CCNC(=O)C1C(C=O)CCC1c1cnccc1O,-7.566,-6.68,0.886,Fase 2_Seletividade
MOL_01019,CCC(=O)C1C(N)CCC1c1cnccc1C=O,-7.564,-5.996,1.568,Fase 2_Seletividade
MOL_01020,CNC(=O)C1C(C=O)CCC1c1cnccc1I,-7.563,-6.107,1.456,Fase 2_Seletividade
MOL_01021,CNC(=O)C1C(C=O)CCC1c1cnccc1C#N,-7.562,-6.428,1.134,Fase 2_Seletividade
MOL_01022,CCOC(=O)C1C(O)CCC1c1cnccc1C(F)F,-7.561,-6.397,1.164,Fase 2_Seletividade
MOL_01023,CCc1ccncc1C1CCC(CF)C1C(=O)O,-7.56,-5.929,1.631,Fase 2_Seletividade
MOL_01024,CCCC(=O)C1C(F)CCC1c1cnccc1Br,-7.559,-6.278,1.281,Fase 3_Super Elite
MOL_01025,CC(C)C(=O)C1C(F)CCC1c1cnccc1S,-7.558,-6.032,1.526,Fase 2_Seletividade
MOL_01026,N#CC1CCC(c2cnccc2S)C1C(N)=O,-7.557,-6.334,1.223,Fase 2_Seletividade
MOL_01027,CC1CCC(c2cnccc2CF)C1C(=O)C(C)(C)C,-7.556,-6.444,1.112,Fase 1_Lote Inicial
MOL_01028,CCCC(=O)C1C(C#N)CCC1c1cnccc1C1CC1,-7.555,-5.828,1.727,Fase 2_Seletividade
MOL_01029,N#CC1CCC(c2cnccc2O)C1C(=O)C1CC1,-7.555,-6.013,1.542,Fase 2_Seletividade
MOL_01030,CCNC(=O)C1C(CC)CCC1c1cnccc1C=O,-7.555,-6.14,1.415,Fase 2_Seletividade
MOL_01031,CCCC(=O)C1CCCC1(C)Cc1cnccc1N=[N+]=[N-],-7.554,-5.555,1.999,Fase 1_Lote Inicial
MOL_01032,Cc1ccncc1C1CCC(C=O)C1C(=O)C1CC1,-7.554,-5.806,1.748,Fase 2_Seletividade
MOL_01033,C=C=Cc1ccncc1C1CCC(C)C1C(=O)CC1CC1,-7.554,-5.814,1.74,Fase 1_Lote Inicial
MOL_01034,CCc1ccncc1C1CCC(F)C1C(=O)OC,-7.553,-5.343,2.21,Fase 2_Seletividade
MOL_01035,COC1CCC(c2cnccc2I)C1C(=O)C(C)C,-7.553,-6.197,1.356,Fase 2_Seletividade
MOL_01036,CCCCC(=O)C1C(C)CCC1c1cnccc1NC#N,-7.553,-6.446,1.107,Fase 1_Lote Inicial
MOL_01037,CC1CCC(c2cnccc2Br)C1C(=O)C=O,-7.552,-5.708,1.844,Fase 2_Seletividade
MOL_01038,COc1ccncc1C1CCC(CF)C1C(=O)C(=O)O,-7.552,-6.115,1.437,Fase 2_Seletividade
MOL_01039,CCCC(=O)C1C(C=O)CCC1c1cnccc1N,-7.551,-5.585,1.966,Fase 2_Seletividade
MOL_01040,COC1CCC(c2cnccc2S)C1C(=O)C1CCC1,-7.551,-5.882,1.669,Fase 2_Seletividade
MOL_01041,CCCC(=O)C1C(OC)CCC1c1cnccc1C#N,-7.551,-6.388,1.163,Fase 2_Seletividade
MOL_01042,COC(=O)C1C(C)CCC1c1cnccc1I,-7.55,-5.794,1.756,Fase 2_Seletividade
